"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2016-11-10T07:29:02.596Z","0.0","0.4"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2016-11-10T07:29:04.561Z","0.0","0.08"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","PENDING","2016-11-10T07:29:03.777Z","0.0","0.1"
"Show list of tasks for current user","List all tasks assigned to current user","PENDING","2016-11-10T07:29:03.624Z","0.0","0.14"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2016-11-10T07:29:18.009Z","0.0","5.06"
"Show current shipments","List open shipments with 5 shipments","PENDING","2016-11-10T07:29:04.831Z","0.0","0.08"
"Show current shipments","List open shipments without shipments","SUCCESS","2016-11-10T07:29:04.923Z","0.0","13.08"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2016-11-10T07:29:04.359Z","0.0","0.08"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2016-11-10T07:29:04.447Z","0.0","0.11"
"Show details of a shipment","Show the details of a shipment","PENDING","2016-11-10T07:29:04.067Z","0.0","0.11"
