"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2017-02-02T12:06:16.605Z","0.0","0.1"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-02-02T12:06:17.023Z","0.0","0.02"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","PENDING","2017-02-02T12:06:16.868Z","0.0","0.02"
"Show list of tasks for current user","List all tasks assigned to current user","PENDING","2017-02-02T12:06:16.829Z","0.0","0.04"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2017-02-02T12:06:27.743Z","0.0","6.46"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-02-02T12:06:17.054Z","0.0","0.02"
"Show current shipments","List open shipments without shipments","SUCCESS","2017-02-02T12:06:17.077Z","0.0","10.66"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-02-02T12:06:16.979Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-02-02T12:06:17.000Z","0.0","0.02"
"Show details of a shipment","Show the details of a shipment","PENDING","2017-02-02T12:06:16.906Z","0.0","0.06"
