"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-05-15T11:58:12.630Z","0.0","0.29"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-05-15T11:58:13.054Z","0.0","0.61"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-05-15T11:58:14.767Z","0.0","0.08"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","IGNORED","2018-05-15T11:58:13.998Z","0.0","0.07"
"Show list of tasks for current user","List all tasks assigned to current user","IGNORED","2018-05-15T11:58:13.898Z","0.0","0.08"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-05-15T11:58:24.519Z","0.0","11.52"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-05-15T11:58:15.243Z","0.0","0.08"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-05-15T11:58:15.329Z","0.0","9.1"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-05-15T11:58:14.589Z","0.0","0.08"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-05-15T11:58:14.673Z","0.0","0.09"
"Show details of a shipment","Show the details of a shipment","PENDING","2018-05-15T11:58:14.276Z","0.0","0.08"
