"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-07-12T19:09:04.586Z","0.0","0.23"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-07-12T19:09:04.996Z","0.0","0.44"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-07-12T19:09:06.291Z","0.0","0.02"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","IGNORED","2018-07-12T19:09:05.812Z","0.0","0.04"
"Show list of tasks for current user","List all tasks assigned to current user","IGNORED","2018-07-12T19:09:05.758Z","0.0","0.04"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-07-12T19:09:14.591Z","0.0","10.76"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-07-12T19:09:06.595Z","0.0","0.04"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-07-12T19:09:06.645Z","0.0","7.86"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-07-12T19:09:06.252Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-07-12T19:09:06.273Z","0.0","0.02"
"Show details of a shipment","Show the details of a shipment","PENDING","2018-07-12T19:09:06.029Z","0.0","0.06"
