"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-03-16T12:24:52.563Z","0.0","0.28"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-03-16T12:24:53.000Z","0.0","0.2"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-03-16T12:24:53.840Z","0.0","0.03"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","IGNORED","2018-03-16T12:24:53.419Z","0.0","0.04"
"Show list of tasks for current user","List all tasks assigned to current user","IGNORED","2018-03-16T12:24:53.382Z","0.0","0.03"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-03-16T12:25:02.318Z","0.0","8.73"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-03-16T12:24:54.018Z","0.0","0.03"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-03-16T12:24:54.054Z","0.0","8.16"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-03-16T12:24:53.763Z","0.0","0.03"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-03-16T12:24:53.803Z","0.0","0.03"
"Show details of a shipment","Show the details of a shipment","PENDING","2018-03-16T12:24:53.582Z","0.0","0.04"
