"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2017-03-09T07:50:34.073Z","0.0","0.09"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-03-09T07:50:34.563Z","0.0","0.02"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","PENDING","2017-03-09T07:50:34.465Z","0.0","0.02"
"Show list of tasks for current user","List all tasks assigned to current user","PENDING","2017-03-09T07:50:34.445Z","0.0","0.02"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2017-03-09T07:50:43.536Z","0.0","6.72"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-03-09T07:50:34.594Z","0.0","0.01"
"Show current shipments","List open shipments without shipments","SUCCESS","2017-03-09T07:50:34.605Z","0.0","8.93"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-03-09T07:50:34.520Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-03-09T07:50:34.538Z","0.0","0.02"
"Show details of a shipment","Show the details of a shipment","PENDING","2017-03-09T07:50:34.492Z","0.0","0.02"
