"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-04-30T07:16:35.082Z","0.0","0.37"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-04-30T07:16:35.654Z","0.0","0.45"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-04-30T07:16:37.368Z","0.0","0.03"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","IGNORED","2018-04-30T07:16:36.503Z","0.0","0.12"
"Show list of tasks for current user","List all tasks assigned to current user","IGNORED","2018-04-30T07:16:36.407Z","0.0","0.08"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-04-30T07:16:46.805Z","0.0","9.85"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-04-30T07:16:37.686Z","0.0","0.04"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-04-30T07:16:37.723Z","0.0","8.96"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-04-30T07:16:37.189Z","0.0","0.12"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-04-30T07:16:37.315Z","0.0","0.05"
"Show details of a shipment","Show the details of a shipment","PENDING","2018-04-30T07:16:36.790Z","0.0","0.16"
